VEH.Aircraft.CargoAircraft	cargo aircraft, cargo plane, Airbus A330 MRTT, Airbus A400M Atlas, Alenia C-27J Spartan, Antonov An-178, Antonov An-124 Ruslan, Antonov An-225 Mriya, Boeing C-17 Globemaster III, Embraer KC-390, Ilyushin Il-76, Ilyushin ll-76-MD-90A, Kawasaki C-2, Lockheed C-5 Galaxy, Lockheed C-141 Starlifter, Shaanxi Y-9, Xian Y-20,
WEA.Club	club, baton, truncheon, cosh, billystick, billy club, nightstick
COM.Equipment	compass, canteen, water bladder
LOC.Position.CrimeScene	crime scene, scene of the crime
COM.Document	document, documents, doc, docs, papers
CRM.FinancialCrime.Extortion	extortion, extorted, attempted to extort, extort
CRM.BehaviorCrime.FailToAssist	failure to assist, duty to rescue
VEH.MilitaryVehicle.FighterAircraft	fighter jet, fightercraft, fighter plane, Guizhou FTC-2000G, Mikoyan MiG-35, Mitsubishi X-2, Shenyang FC-31, Sukhoi Su-47, Sukhoi Su-57, HAL FGFA, ADA/HAL Advanced Medium Combat Aircraft, HESA Shafaq, KAI KF-X, Mitsubishi F-3, Qaher-313, TAI TFX, AIDC F-CK-1, Atlas Cheetah, Boeing F/A-18E/F Super Hornet, Chengdu FC-1 Xiaolong, PAC JF-17 Thunder, Chengdu J-7, Chengdu J-10, Chengdu J-20, Dassault Mirage III, Dassault Mirage 5 & 50, Dassault Mirage 5, Dassault Mirage 50, Dassault Mirage 2000, Dassault Mirage F1, Dassault Rafale, Dassault-Breguet Super Étendard, Embraer A-29 Super Tucano, ENAER Pantera, Eurofighter Typhoon, General Dynamics F-16 Fighting Falcon, Grumman F-14 Tomcat, Guizhou JL-9, HAL Tejas, HESA Azarakhsh, HESA Saeqeh, Hongdu L-15, Hongdu JL-8, IAI Kfir, KAI FA-50, Lockheed Martin F-22 Raptor, Lockheed Martin F-35 Lightning II, McDonnell Douglas AV-8B Harrier II Plus, McDonnell Douglas F-15 Eagle, McDonnell Douglas F-15E Strike Eagle, McDonnell Douglas F/A-18 Hornet, McDonnell Douglas F4H/F-110/F-4 Phantom II, McDonnell Douglas F-4 Phantom II, Mikoyan-Gurevich MiG-21, Mikoyan-Gurevich MiG-23, Mikoyan-Gurevich MiG-25, Mikoyan MiG-29, Mikoyan MiG-31, Mitsubishi F-2, Northrop F-5, Saab JAS 39 Gripen, Shenyang J-8 & J-8II, Shenyang J-8, Shenyang J-8II, Shenyang J-11, Shenyang J-15, Shenyang J-16, Sukhoi Su-17, Sukhoi Su-20, Sukhoi Su-22, Sukhoi Su-27, Sukhoi Su-30, Sukhoi Su-32/Su-34, Sukhoi Su-32, Sukhoi Su-34, Sukhoi Su-33, Sukhoi Su-27M/Su-35, Sukhoi Su-27M, Sukhoi Su-35, Sukhoi Su-30MKI, Xian JH-7
VEH.WheeledVehicle.FireApparatus	fire apparatus, fire truck, tiller truck, fire engine, quint, heavy rescue vehicle, platform truck
COM.Flag.Flag	flag, russian flag, ukrainian flag
